,word,lang,pre_eng,pre_esp,pre_cat,pre_ita,pre_fra,pre_por,pre_ale,pre_sue,pre_pol,pre_rus,suf_eng,suf_esp,suf_cat,suf_ita,suf_fra,suf_por,suf_ale,suf_sue,suf_pol,suf_rus,en_zipf,es_zipf,ca_zipf,it_zipf,fr_zipf,pt_zipf,de_zipf,sv_zipf,pl_zipf,ru_zipf
2656,llave,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.38,4.26,2.41,1.27,1.19,1.19,0.0,0.0,0.0,0.0
2657,planchar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2658,único,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,5.36,2.54,1.64,1.25,5.27,1.48,0.0,0.0,0.0
2659,palo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,4.38,3.16,3.99,2.86,2.95,3.01,2.71,2.72,2.05
2660,plano,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,4.54,2.36,2.51,2.19,5.23,2.07,1.9,2.04,0.0
2661,veinte,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.66,4.47,2.01,1.28,1.35,1.2,1.19,0.0,1.12,1.03
2662,piel,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,4.8,2.88,1.99,2.24,1.89,2.56,1.48,2.25,0.0
2663,sonreír,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2664,pliegue,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2665,agujero,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,4.05,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2666,salto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,4.38,3.02,4.44,2.82,4.42,3.02,2.14,2.76,1.11
2667,bebé,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4.7,3.62,2.13,1.38,3.9,1.1,1.09,0.0,0.0
2668,ocho,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,4.93,2.73,2.17,2.23,2.39,2.09,2.4,2.38,1.43
2669,aldea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,4.3,3.47,1.95,1.63,1.82,1.91,1.69,1.85,1.03
2670,reunir,3,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.14,4.66,0.0,2.04,4.39,0.0,0.0,0.0,0.0
2671,raíz,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.46,2.59,0.0,0.0,2.97,0.0,0.0,0.0,0.0
2672,comprar,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1.29,5.03,4.97,2.59,1.12,5.18,1.32,0.0,0.0,0.0
2673,elevar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.9,3.63,0.0,0.0,3.85,0.0,0.0,0.0,0.0
2674,resolver,3,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2.0,4.68,1.54,1.28,1.15,4.82,1.8,0.0,1.08,0.0
2675,metal,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4.82,4.44,3.66,4.03,3.83,4.47,4.12,3.99,4.14,3.41
2676,ya sea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,5.7,3.65,3.43,3.56,3.65,3.26,3.34,3.49,3.0
2677,empujar,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2678,siete,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.24,4.98,2.52,5.29,2.01,2.03,1.99,1.6,1.55,1.34
2679,párrafo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2680,tercera,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,4.82,4.88,1.4,1.65,1.74,1.6,0.0,1.08,1.03
2681,deberá,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.47,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2682,retenida,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2683,pelo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,4.82,2.69,4.14,2.27,6.28,1.85,1.67,2.08,1.5
2684,describir,3,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2685,cocinero,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,3.58,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2686,piso,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,4.79,2.32,2.16,1.93,4.14,2.27,1.8,1.87,0.0
2687,o,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,6.51,6.47,6.48,5.01,7.47,5.21,5.47,6.91,4.56
2688,resultado,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,5.12,2.1,0.0,0.0,5.19,0.0,0.0,0.0,0.0
2689,quemar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2690,cerro,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,4.34,2.66,3.18,2.54,3.3,2.56,2.06,2.98,1.01
2691,seguro,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,5.39,2.86,2.43,2.01,4.84,2.39,1.71,1.58,0.0
2692,gato,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,4.62,3.17,2.89,2.51,4.61,2.26,2.31,2.56,1.54
2693,siglo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,5.15,3.19,2.32,2.17,1.91,2.1,0.0,1.45,1.31
2694,considerar,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.54,4.74,1.28,0.0,4.5,0.0,0.0,0.0,0.0
2695,escribe,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.11,4.64,1.63,0.0,1.03,1.04,0.0,0.0,0.0,0.0
2696,ley,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.98,5.6,3.47,2.76,2.56,3.02,3.04,2.12,2.0,1.39
2697,un poco,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,5.8,3.08,5.62,2.45,3.25,2.81,2.21,2.85,1.87
2698,costa,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,5.02,5.21,5.05,4.03,5.04,4.09,3.9,3.87,3.16
2699,copiar,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.9,3.89,0.0,0.0,3.99,0.0,0.0,0.0,0.0
2700,frase,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.66,4.68,4.58,4.73,1.46,4.65,1.38,1.31,0.0,0.0
2701,silencioso,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0,3.65,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0
2702,alto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,5.29,4.13,5.23,3.33,5.26,3.28,2.84,3.37,2.33
2703,arena,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,4.55,4.01,4.03,3.56,4.45,4.29,4.39,3.73,3.31
2704,suelo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,4.93,2.49,1.36,1.34,1.3,1.08,0.0,0.0,0.0
2705,rodar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.69,4.01,0.0,0.0,3.81,0.0,0.0,0.0,0.0
2706,la temperatura,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,4.55,4.69,4.62,0.0,4.55,0.0,0.0,4.31,0.0
2707,dedo,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,4.47,1.76,1.65,1.28,4.51,1.66,1.22,1.5,0.0
2708,industria,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.19,4.96,3.56,4.55,2.1,3.45,2.14,1.43,1.66,1.28
2709,valor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.23,5.13,4.95,3.48,2.4,5.19,2.36,2.28,2.62,1.79
2710,lucha,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,5.09,2.96,2.68,2.39,2.84,2.31,1.78,1.75,0.0
2711,mentir,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.16,4.17,1.34,4.24,4.33,0.0,0.0,0.0,0.0
2712,derrotar,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.83,4.13,0.0,0.0,4.02,0.0,0.0,0.0,0.0
2713,excitar,3,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,2.72,2.62,0.0,0.0,2.85,0.0,0.0,0.0,0.0
2714,natural,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,5.11,5.03,5.07,3.55,3.22,4.99,3.48,3.37,3.51,2.86
2715,vista,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.71,5.2,5.14,5.41,3.37,5.24,3.38,3.51,3.4,3.21
2716,sentido,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,5.32,2.36,1.76,1.64,5.17,1.64,1.22,1.44,1.56
2717,silla,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.37,4.43,3.26,3.08,2.22,1.86,2.77,2.37,1.52,1.44
2718,peligro,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,4.82,1.97,1.59,1.3,1.86,0.0,1.02,1.49,0.0
2719,fruta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,4.2,1.95,1.03,1.06,4.08,0.0,1.09,0.0,0.0
2720,rico,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,4.96,4.12,3.75,3.58,4.75,3.71,3.66,3.75,2.13
2721,grueso,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.96,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2722,soldado,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.27,4.38,2.24,2.11,2.07,4.34,1.49,1.88,1.7,1.25
2723,proceso,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,5.32,3.16,2.0,1.69,2.37,1.43,0.0,1.48,1.27
2724,funcionar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.38,4.42,0.0,0.0,4.44,0.0,0.0,0.0,0.0
2725,práctica,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.89,2.9,0.0,0.0,2.02,0.0,0.0,0.0,0.0
2726,separado,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,4.23,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0
2727,difícil,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,5.24,5.14,1.33,1.03,5.35,0.0,1.13,0.0,0.0
2728,médico,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,4.88,2.79,1.68,3.55,5.01,1.48,1.22,0.0,0.0
2729,por favor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.47,5.47,5.06,3.07,2.39,5.42,2.47,2.69,2.75,2.0
2730,proteger,3,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1.02,4.59,1.59,0.0,2.84,4.83,0.0,0.0,0.0,0.0
2731,mediodía,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.13,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2732,cultivo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4.32,1.45,0.0,0.0,4.1,0.0,0.0,0.0,0.0
2733,moderno,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4.45,2.72,4.5,1.85,4.44,1.83,1.16,1.65,0.0
2734,elemento,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,4.49,1.69,4.6,1.36,4.45,1.26,1.11,1.74,1.38
2735,pegar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.06,3.74,0.0,0.0,5.12,0.0,0.0,0.0,0.0
2736,alumno,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.18,1.5,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2737,esquina,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.45,4.46,1.87,1.23,1.3,4.15,1.15,1.19,0.0,0.0
2738,fiesta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,4.99,3.22,3.25,3.3,3.16,3.33,2.65,2.94,2.8
2739,suministro,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2740,cuyo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4.85,2.07,1.51,1.57,2.45,1.38,1.16,0.0,0.0
2741,localizar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.9,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0
2742,anillo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,4.23,1.74,1.21,1.03,1.33,0.0,1.15,0.0,0.0
2743,personaje,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,4.79,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2744,insecto,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.56,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0
2745,capturado,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,3.85,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0
2746,período,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.8,1.59,1.25,0.0,5.25,0.0,0.0,0.0,0.0
2747,indicar,3,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.07,4.26,1.12,0.0,4.3,0.0,0.0,0.0,0.0
2748,radio,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,5.03,4.39,4.99,4.92,4.35,4.68,4.73,4.76,3.66
2749,habló,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.48,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2750,átomo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.35,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0
2751,humano,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,4.94,2.74,2.39,1.9,5.01,1.69,0.0,1.61,1.08
2752,historia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.95,5.67,4.43,3.47,3.14,4.22,3.27,5.16,5.19,1.96
2753,efecto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,4.97,2.2,1.5,1.15,1.7,1.08,0.0,0.0,0.0
2754,eléctrico,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.19,1.84,0.0,0.0,3.3,0.0,0.0,0.0,0.0
2755,suponer,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756,hueso,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,4.16,1.78,0.0,0.0,1.08,0.0,0.0,0.0,0.0
2757,carril,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,3.85,3.89,0.0,1.12,2.35,0.0,0.0,0.0,0.0
2758,imaginar,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.41,4.51,0.0,0.0,4.63,0.0,0.0,0.0,0.0
2759,proveer,3,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2760,aceptar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.71,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,de este modo,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,5.16,2.95,3.71,2.96,5.15,2.52,2.46,2.27,1.84
2762,amable,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.39,4.29,3.99,0.0,2.43,1.06,0.0,0.0,0.0,1.08
2763,mujer,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2.32,5.57,3.6,2.83,2.23,2.38,2.29,2.29,2.7,1.59
2764,capitán,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,4.75,3.06,1.42,1.58,2.06,2.21,1.93,0.0,0.0
2765,adivinar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2766,necesario,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.18,5.12,1.72,1.51,1.04,1.84,0.0,0.0,0.0,0.0
2767,agudo,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.04,3.69,2.39,1.05,0.0,3.46,0.0,0.0,0.0,0.0
2768,ala,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,4.31,4.19,4.07,3.13,4.1,3.45,3.45,3.9,1.78
2769,crear,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1.25,5.03,5.23,2.17,1.16,2.28,0.0,0.0,0.0,0.0
2770,vecino,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,4.5,2.38,2.44,1.26,1.61,0.0,0.0,1.21,0.0
2771,lavar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2.2,4.05,0.0,2.19,1.16,4.42,0.0,2.67,1.18,0.0
2772,murciélago,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.37,0.0,1.13,0.0,1.28,1.05,0.0,0.0,0.0
2773,bastante,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.32,5.24,1.72,2.5,0.0,5.25,1.1,0.0,0.0,0.0
2774,multitud,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.37,4.26,0.0,0.0,0.0,0.0,1.07,0.0,0.0
2775,maíz,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,4.21,1.59,0.0,0.0,1.28,0.0,0.0,0.0,0.0
2776,comparar,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.1,4.17,0.0,0.0,4.08,0.0,0.0,0.0,0.0
2777,poema,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,4.31,4.32,3.79,1.77,4.31,1.91,0.0,1.52,0.0
2778,cuerda,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,4.17,1.91,0.0,0.0,1.11,0.0,0.0,0.0,0.0
2779,campana,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.13,3.94,3.99,4.01,2.57,2.65,2.33,2.06,1.85,0.0
2780,depender,3,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.0,3.91,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0
2781,carne,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.76,4.83,2.18,4.82,2.71,4.75,2.81,2.99,2.46,1.76
2782,frotar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2783,tubo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,4.15,1.38,4.22,1.38,4.02,1.56,0.0,1.05,0.0
2784,famoso,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1.52,4.62,1.73,4.71,1.94,4.8,1.28,0.0,0.0,0.0
2785,dólar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.27,1.45,0.0,0.0,4.17,0.0,0.0,0.0,0.0
2786,corriente,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1.21,4.64,1.76,1.41,1.28,1.12,0.0,0.0,0.0,0.0
2787,miedo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,5.24,2.88,1.96,1.54,2.38,1.55,0.0,1.29,1.33
2788,visión,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.36,4.79,2.79,1.04,1.03,1.34,0.0,0.0,0.0,0.0
2789,delgada,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.03,3.83,1.81,1.92,1.84,2.98,1.74,1.63,1.25,0.0
2790,triángulo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.79,2.04,1.07,0.0,1.77,0.0,0.0,0.0,0.0
2791,planeta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,4.74,4.71,2.69,1.81,4.88,1.78,1.52,3.95,2.27
2792,apuro,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.56,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0
2793,jefe,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.28,5.15,2.96,2.01,1.92,2.16,2.24,1.93,1.8,1.31
2794,colonia,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.42,4.49,3.02,4.22,2.45,2.9,2.89,2.43,2.69,1.43
2795,reloj,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4.38,1.72,1.12,1.07,1.26,1.08,1.02,0.0,0.0
2796,mía,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,4.67,2.72,2.46,1.11,2.0,1.33,0.0,0.0,0.0
2797,corbata,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.67,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2798,ingresar,3,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.13,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2799,importante,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9,5.48,2.47,5.44,4.91,5.47,1.79,1.65,1.47,1.25
2800,nuevo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,5.77,3.31,3.06,2.55,3.24,2.56,2.29,2.92,1.97
2801,búsqueda,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.74,2.74,1.42,0.0,1.59,1.07,0.0,0.0,0.0
2802,enviar,3,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.55,4.94,0.0,0.0,4.73,0.0,0.0,0.0,0.0
2803,amarillo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,4.33,2.65,2.27,2.3,2.4,2.3,3.0,2.36,0.0
2804,pistola,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,4.08,4.04,4.34,1.31,3.99,1.39,1.49,1.45,0.0
2805,permitir,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,4.55,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0
2806,impresión,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,4.52,1.55,0.0,0.0,1.12,0.0,0.0,0.0,0.0
2807,muerto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,4.93,2.86,1.86,1.76,2.45,1.85,1.91,1.77,1.07
2808,lugar,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2.43,5.8,3.11,1.92,2.04,5.64,2.47,1.66,1.46,1.29
2809,desierto,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,4.36,2.13,1.37,1.33,1.28,1.41,0.0,1.33,0.0
2810,traje,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.26,4.38,2.55,1.03,1.18,3.78,0.0,1.15,0.0,0.0
